topic,level,num_questions_type_1,num_questions_type_2,num_questions_type_3,num_questions_type_4,num_questions_type_5,num_questions_type_6,num_questions_type_7,num_questions_type_8,num_questions_type_9
Talk about the past,5,1,1,1,1,1,1,1,1,1
Discuss relationships,5,1,1,1,1,1,1,1,1,1
Discuss Party Preparation,5,1,1,1,1,1,1,1,1,1
Talk about visiting family,5,1,1,1,1,1,1,1,1,1
Talk about work,5,1,1,1,1,1,1,1,1,1
Discuss opinions,5,1,1,1,1,1,1,1,1,1
Talk about the arts,5,1,1,1,1,1,1,1,1,1
Describe sleeping habits,5,1,1,1,1,1,1,1,1,1
Discuss Sports,5,1,1,1,1,1,1,1,1,1
Talk about Halloween,5,1,1,1,1,1,1,1,1,1
Describe marriage,5,1,1,1,1,1,1,1,1,1
Share a secret,5,1,1,1,1,1,1,1,1,1
Discussing medical issues,5,1,1,1,1,1,1,1,1,1
Talk about your studies,5,1,1,1,1,1,1,1,1,1
Talk about a move,5,1,1,1,1,1,1,1,1,1
Talk about your daily commute,5,1,1,1,1,1,1,1,1,1
Express surprise,5,1,1,1,1,1,1,1,1,1
Describe Technology,5,1,1,1,1,1,1,1,1,1
Talk about Politics,5,1,1,1,1,1,1,1,1,1
Express fear,5,1,1,1,1,1,1,1,1,1
Talk about movies,5,1,1,1,1,1,1,1,1,1
Talk about a Tournament,5,1,1,1,1,1,1,1,1,1
Make transactions,5,1,1,1,1,1,1,1,1,1
Establish contacts,5,1,1,1,1,1,1,1,1,1
Describe Geography,5,1,1,1,1,1,1,1,1,1
eat in a restaurant,5,1,1,1,1,1,1,1,1,1
Comment on music,5,1,1,1,1,1,1,1,1,1
Talk about crime,5,1,1,1,1,1,1,1,1,1
Talk about pastimes,5,1,1,1,1,1,1,1,1,1
Buy items you need,5,1,1,1,1,1,1,1,1,1
Talk about historical eras,5,1,1,1,1,1,1,1,1,1
Recount experience,5,1,1,1,1,1,1,1,1,1